id,nom,url_profil,ville,service_type,date_ajout
"24","UKHÖM I Creative Studio","https://clutch.co/profile/ukh-m-i-creative-studio","Lille","mobile","2026-09-01"
"25","Tallium Inc.","https://clutch.co/profile/tallium","Lille","web","2026-09-01"
"26","TRIARE, LLC","https://clutch.co/profile/triare","Lille","web","2026-09-01"
"27","Meant4.com","https://clutch.co/profile/meant4com","Lille","web","2026-09-01"
"28","Scalo","https://clutch.co/profile/scalo","Lille","web","2026-09-01"
"29","Glush","https://clutch.co/profile/glush","Saint-André-lez-Lille","web","2026-09-01"
"30","Atelier256","https://clutch.co/profile/atelier256","Neuville-en-Ferrain","web","2026-09-01"
"31","AMELA Technology","https://clutch.co/profile/amela-technology","Lille","web","2026-09-01"
"32","Redlab agency","https://clutch.co/profile/redlab-agency","Lille","web","2026-09-01"
"33","SensioLabs","https://clutch.co/profile/sensiolabs","Lille","web","2026-09-01"
"34","Web Maniac","https://clutch.co/profile/web-maniac","Lille","web","2026-09-01"
"35","Contraste Europe","https://clutch.co/profile/contraste-europe","Marcq-en-Barœul","web","2026-09-01"
"36","Les Fabricants","https://clutch.co/profile/les-fabricants","Villeneuve-d'Ascq","web","2026-09-01"
"37","Nutshell Lab","https://clutch.co/profile/nutshell-lab","Lille","web","2026-09-01"
"38","ouiflow.io","https://clutch.co/profile/ouiflowio","Lille","web","2026-09-01"
"39","ikomobi","https://clutch.co/profile/ikomobi","Marcq-en-Barœul","web","2026-09-01"
"40","SLASH CONSULTING","https://clutch.co/profile/slash-consulting","Lille","web","2026-09-01"
"41","Kodo - Odoo Integrator","https://clutch.co/profile/kodo-odoo-integrator","Dourges","web","2026-09-01"
"42","Dernier Cri","https://clutch.co/profile/dernier-cri","Lille","web","2026-09-01"
"43","Archand","https://clutch.co/profile/archand","Lille","web","2026-09-01"
"44","AmphiBee","https://clutch.co/profile/amphibee","Béthune","web","2026-09-01"
"45","Denkimedia","https://clutch.co/profile/denkimedia","Villeneuve-d'Ascq","web","2026-09-01"
"46","FAROUK NASRI","https://clutch.co/profile/farouk-nasri","Tourcoing","web","2026-09-01"
"47","Silicon Salad","https://clutch.co/profile/silicon-salad","Lille","web","2026-09-01"
"48","SAS Webagencelille.com","https://clutch.co/profile/sas-webagencelillecom","Lille","web","2026-09-01"
"49","Celaneo","https://clutch.co/profile/celaneo","Valenciennes","web","2026-09-01"
"50","Les-Tilleuls.coop","https://clutch.co/profile/les-tilleulscoop","Lille","web","2026-09-01"
"51","Ideine","https://clutch.co/profile/ideine","Roubaix","web","2026-09-01"
"52","Impala Webstudio","https://clutch.co/profile/impala-webstudio","Lambersart","web","2026-09-01"
"53","Neoweb","https://clutch.co/profile/neoweb","Lille","web","2026-09-01"
"54","Arexpo","https://clutch.co/profile/arexpo","Dunkerque","web","2026-09-01"
"55","Crystal'ID","https://clutch.co/profile/crystalid","Lille","web","2026-09-01"
"56","Whatson Web","https://clutch.co/profile/whatson-web","Saint-André-lez-Lille","web","2026-09-01"
"57","ATELIER 33","https://clutch.co/profile/atelier-33","Lille","web","2026-09-01"
"58","La mobilery","https://clutch.co/profile/la-mobilery","Tourcoing","web","2026-09-01"
"59","Tymate","https://clutch.co/profile/tymate","Lille","web","2026-09-01"
"60","Wapiti Agency","https://clutch.co/profile/wapiti-agency","Lille","web","2026-09-01"
"61","Dista","https://clutch.co/profile/dista","Roubaix","web","2026-09-01"
"62","Inov Agency","https://clutch.co/profile/inov-agency","Lille","web","2026-09-01"
"63","NiceToMeetYou","https://clutch.co/profile/nicetomeetyou","Lille","web","2026-09-01"
"64","Octelio Conseil","https://clutch.co/profile/octelio-conseil","Lille","web","2026-09-01"
"65","Tigre Blanc","https://clutch.co/profile/tigre-blanc","Douai","web","2026-09-01"
"66","UKHÖM I Creative Studio","https://clutch.co/profile/ukh-m-i-creative-studio","Lille","web","2026-09-01"
"67","DA VINCI COM","https://clutch.co/profile/da-vinci-com","La Chapelle-d'Armentières","web","2026-09-01"
"68","Apresta","https://clutch.co/profile/apresta","Sainghin-en-Weppes","web","2026-09-01"
"69","Dlinks Digital","https://clutch.co/profile/dlinks-digital","Lille","web","2026-09-01"
"70","la revanche des sites","https://clutch.co/profile/la-revanche-des-sites","Lille","web","2026-09-01"
"71","User Agency","https://clutch.co/profile/user-agency","Marcq-en-Barœul","web","2026-09-01"
